StoreName,CityName,Street Address,Longitude,Latitude,province,cityE
北京复兴路咖啡店,北京市,"海淀区, 凯德精品商场1层西侧, 北京市通州区云景东路1号",116.3,39.91,Beijing,Beijing
北京通州贵友店,北京市,"通州区, 贵友大厦地上一层, 海淀大街3号",116.67,39.88,Beijing,Beijing
北京海淀鼎好电子大厦店,北京市,"海淀区, 鼎好电子大厦1层, 北三环东路36号2号楼C-05单元",116.31,39.98,Beijing,Beijing
北京环球贸易中心店,北京市,"东城区, 将台路丽都广场丽都商厦首层",116.41,39.97,Beijing,Beijing
北京丽都店,北京市,"朝阳区, 西红门镇",116.48,39.98,Beijing,Beijing
北京欣宁大街咖啡店,北京市,"大兴区, 欣宁大街15号1层1-01-28-R号, 朝阳门外大街甲6号",116.33,39.79,Beijing,Beijing
北京朝外大街咖啡店,北京市,"朝阳区, 一层2011,2012号商铺, 工人体育场北路13号",116.46,39.92,Beijing,Beijing
北京工体北路店,北京市,"朝阳区, 北京世茂百货F1层E103, 文化园东路6号01C01",116.45,39.94,Beijing,Beijing
北京文化园东路店,北京市,"经济技术开发区, 首都机场3号航站楼",116.5,39.81,Beijing,Beijing
北京首都国际机场5店,北京市,"顺义区, 到达大厅A2LE08#, 翠景北里21号楼",116.62,40.06,Beijing,Beijing
北京翠景北里咖啡店,北京市,"通州区, 南竹杆胡同1号地下1层",116.66,39.89,Beijing,Beijing
北京朝阳门SOHO店,北京市,"东城区, B-123号铺, 万博苑7号楼1层",116.43,39.92,Beijing,Beijing
北京万博苑咖啡店,北京市,"西城区, 东三环北路霞光里18号",116.36,39.87,Beijing,Beijing
北京霞光里店,北京市,"潮阳区, 佳程广场平台层, 太平桥大街18号",116.46,39.96,Beijing,Beijing
北京太平桥大街咖啡店,北京市,"西城区, 丰融国际203号, 良乡北关西路14号",116.37,39.92,Beijing,Beijing
北京房山北关西路咖啡店,北京市,"房山区, 华冠购物中心一层, 复兴路69号3号楼1层（01）101号001单元",116.14,39.74,Beijing,Beijing
北京五棵松卓展店,北京市,"海淀区, 朝阳门外大街",116.28,39.91,Beijing,Beijing
北京丰联广场店,北京市,"朝阳区, 丰联广场一层, 广安门外大街168号",116.44,39.92,Beijing,Beijing
北京朗琴国际大厦咖啡店,北京市,"西城区, 天虹百货商场1层101-1号, 东三环中路一号",116.34,39.89,Beijing,Beijing
北京环球金融中心店,北京市,"朝阳区, 环球金融中心首层W102, 北辰东路8号院",116.46,39.92,Beijing,Beijing
北京北辰东路第三咖啡店,北京市,"朝阳区, 1号楼一层108单元, 清河嘉园东区甲1号楼",116.41,39.99,Beijing,Beijing
北京清河嘉园东区咖啡店,北京市,"海淀区, 清河翠微百货一层101-01单元, 曙光西里甲5号院",116.35,40.03,Beijing,Beijing
北京曙光西里咖啡店,北京市,"朝阳区, 10号楼-17-1层17, 朝阳北路",116.46,39.96,Beijing,Beijing
北京青年路第二咖啡店,北京市,"朝阳区, 101号楼5层5F-48, 北京首都国际机场T3航站楼4层公共区",116.52,39.92,Beijing,Beijing
北京首都机场11店,北京市,"朝阳区, 工人体育场北路甲2号裙房01层103A",116.62,40.06,Beijing,Beijing
北京盈科中心第二咖啡店,北京市,"朝阳区, 单元及02层202A、203A单元, 建国门外大街乙12号",116.46,39.93,Beijing,Beijing
北京LG大厦店,北京市,"朝阳区, 北京双子座大厦首层L118, 大红门西路26号11号",116.45,39.91,Beijing,Beijing
北京大红门西路店,北京市,"丰台区, 商业楼首层L1-01单元, 北京南站",116.39,39.84,Beijing,Beijing
北京南站第六咖啡店,北京市,"丰台区, 换乘层7号出站口北侧区域的单元, 朝阳北路101号楼",116.38,39.86,Beijing,Beijing
北京青年路三店,北京市,"朝阳区, 北京朝阳大悦8层, 朝阳门内大街2号B座一层04单元",116.52,39.93,Beijing,Beijing
