StoreName,CityName,StreetAddress1,StreetAddress3,latitude,longitude,province,cityE
嘉定万科安亭新镇店,上海市,上海市上海市,上海市嘉定区安城路278号1层101单元,31.269373,121.171837,Shanghai,Shanghai
上海唐镇宝燕商城店,上海市,上海市上海市,浦东新区高科东路 515弄 8号楼 1层 101单元,31.2110718,121.6513495,Shanghai,Shanghai
人民广场地铁站,上海市,上海市上海市,上海市黄浦区轨道交通一号线人民广场地铁站 1-110商铺,31.232999,121.474106,Shanghai,Shanghai
上海平安滨江金融中心店,上海市,上海市上海市,上海市黄浦区蒙自路757号1楼106单元,31.19754,121.48196,Shanghai,Shanghai
浦江双辉店,上海市,上海市上海市,上海市浦东新区银城路9-99号地下一层01单元,31.2421146,121.509638,Shanghai,Shanghai
金谊广场店,上海市,上海市上海市,上海市浦东新区上南路4467号金谊广场1层-1室,31.140257,121.513527,Shanghai,Shanghai
大悦城店,上海市,上海市上海市,上海市闸北区西藏北路166号第三层301-16单元,31.242977,121.472054,Shanghai,Shanghai
美罗城店,上海市,上海市上海市,上海市徐汇区肇家浜路1111号219单元,31.193266,121.43972,Shanghai,Shanghai
南车站路店,上海市,上海市上海市,上海市黄浦区南车站路600弄20号F栋甲,31.20311807,121.4939666,Shanghai,Shanghai
浦东机场T2国际出发D75,上海市,上海市上海市,上海浦东机场2号航站楼3楼国际出发禁区D75号登机口,31.15170748,121.8100548,Shanghai,Shanghai
柏树大厦店,上海市,上海市上海市,上海市虹口区中山北一路1230号A102-1室,31.29086644,121.488548,Shanghai,Shanghai
松江塞纳左岸生活广场店,上海市,上海市上海市,上海市松江区文诚路500弄1号L22-1,31.03290718,121.2167804,Shanghai,Shanghai
漫游城步行街店,上海市,上海市上海市,上海市闵行区万源南路99弄6号107、108室,31.13378556,121.3976046,Shanghai,Shanghai
中山广场店,上海市,上海市上海市,上海长宁区中山西路1065号104室,31.19838741,121.4152222,Shanghai,Shanghai
凌空广场店,上海市,上海市上海市,上海巿长宁区金钟路968号的凌空SOHO广场2号楼2-106室,31.22199647,121.3533211,Shanghai,Shanghai
品尊国际广场店,上海市,上海市上海市,上海市普陀区铜川路58弄21-22号,31.25609,121.41995,Shanghai,Shanghai
真华路店,上海市,上海市上海市,上海市宝山区真华路928号一层101室,31.27135716,121.4110869,Shanghai,Shanghai
新华联购物中心店,上海市,上海市上海市,上海市闵行区申滨路473号一层L1-09单元,31.20124346,121.3089621,Shanghai,Shanghai
松江明中广场,上海市,上海市上海市,上海市松江区明中路1885号零售商区1层01单元,31.0729,121.32139,Shanghai,Shanghai
上海复兴荟店,上海市,上海市上海市,上海市黄浦区盐城路58号,31.2173599,121.4840934,Shanghai,Shanghai
东航云锦天地店,上海市,上海市上海市,上海市徐汇区龙兰路277号第一层3102单元,31.16614289,121.4575837,Shanghai,Shanghai
申北路店,上海市,上海市上海市,上海市闵行区申北路8号,31.09215318,121.3862012,Shanghai,Shanghai
外滩金融中心办公楼店,上海市,上海市上海市,上海市黄浦区中山东二路600号1幢1楼东侧,31.225594,121.498512,Shanghai,Shanghai
虹口龙之梦办公楼店,上海市,上海市上海市,上海市虹口区西江湾路388号(A)01层56号,31.2704484,121.4787354,Shanghai,Shanghai
虹口运动loft店,上海市,上海市上海市,上海市虹口区同心路723号11幢102室,31.27130256,121.4733403,Shanghai,Shanghai
唐镇阳光城店,上海市,上海市上海市,上海市浦东新区高科东路777弄1号L102商铺,31.21412644,121.6570369,Shanghai,Shanghai
松江新理想广场店,上海市,上海市上海市,上海松江区荣乐西路790号1F-14,31.0168803,121.1974117,Shanghai,Shanghai
航运金融大厦店,上海市,上海市上海市,上海市浦东新区浦东大道720号国际航运金融中心大厦大堂,31.239899,121.524796,Shanghai,Shanghai
静安紫苑店,上海市,上海市上海市,上海市静安区江宁路388号1-2层,31.23395853,121.4531085,Shanghai,Shanghai
杨浦百联滨江购物中心店,上海市,上海市上海市,上海市杨浦区宁国路218号L1层1A-024室,31.26439861,121.537641,Shanghai,Shanghai
大华乐购店,上海市,上海市上海市,上海市宝山区大华路518号乐购大华店第一层的S1、S2单元,31.2708418,121.4145652,Shanghai,Shanghai
汇京国际广场店,上海市,上海市上海市,上海市徐汇区淮海西路555号1楼103单元,31.1958206,121.4231135,Shanghai,Shanghai
陆家嘴软件园店,上海市,上海市上海市,上海市浦东新区峨山路91弄98号陆家嘴软件园1号楼1楼,31.21751312,121.5319247,Shanghai,Shanghai
金桥太茂店,上海市,上海市上海市,上海市浦东新区金高路1882号第一层105单元,31.26634647,121.6083215,Shanghai,Shanghai
唐镇来安路店,上海市,上海市上海市,上海市浦东新区来安路686号E2033,31.247002,121.674067,Shanghai,Shanghai
淮海花园店,上海市,上海市上海市,上海市长宁区淮海西路280号101室,31.2002621,121.429089,Shanghai,Shanghai
江镇新都汇店,上海市,上海市上海市,上海市浦东新区祝桥镇江晖路409弄51号一层5室,31.17289107,121.7394161,Shanghai,Shanghai
西郊友谊店,上海市,上海市上海市,上海市长宁区仙霞西路88号*,31.20928955,121.3696899,Shanghai,Shanghai
上海adidas总部店,上海市,上海市上海市,上海市徐汇区恭城路160号3楼306单元,31.19666899,121.4363544,Shanghai,Shanghai
正大广场3F店,上海市,上海市上海市,上海市浦东新区陆家嘴西路168号3F,31.237121,121.500322,Shanghai,Shanghai
甘河路店,上海市,上海市上海市,上海市虹口区甘河路181号,31.28920422,121.4874966,Shanghai,Shanghai
